# Each line below is of the form ID1 ID2 cost.
# where ID1 and ID2 are the IDs of the nodes connected by the edge and
# cost is the cost of traversing that edge (in either direction).
1,6,0.21593493259022176
1,10,0.3302582368539761
1,16,0.497417060696773
2,3,0.15385400213866476
2,11,0.16566888350360326
2,7,0.17378434882914398
3,2,0.15385400213866476
3,15,0.2217626101020218
3,7,0.3257477878100424
4,2,0.4699955605709835
4,7,0.47987771798867496
4,5,0.5380151105287182
5,9,0.2331999268811151
5,13,0.27347447213496734
5,17,0.4616725204859166
6,10,0.128564869306645
6,1,0.21593493259022176
7,16,0.042854956435548416
7,2,0.17378434882914398
7,11,0.23581045515007573
8,14,0.014284985478516124
8,15,0.20823765785947776
8,17,0.24326453694529881
9,13,0.07142492739258055
9,5,0.2331999268811151
9,17,0.6768430532424627
10,6,0.128564869306645
10,1,0.3302582368539761
11,12,0.1541852274997349
11,2,0.16566888350360326
11,7,0.23581045515007573
12,11,0.1541852274997349
12,2,0.31942198587559395
12,7,0.3658741469954512
13,9,0.07142492739258055
13,5,0.27347447213496734
13,15,0.6081613423632473
14,8,0.014284985478516124
14,15,0.22060939058425813
14,17,0.22900573835867935
15,8,0.20823765785947776
15,14,0.22060939058425813
15,3,0.2217626101020218
16,7,0.042854956435548416
16,2,0.2161710561518455
16,11,0.2719780205623487
17,14,0.22900573835867935
17,8,0.24326453694529881
17,15,0.4385513807291395
