0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.812784913000336926e-04,1.269445074954753672e-01,-1.409960948697003280e-01,1.379105962050730660e-02,-7.812784861250204969e-04,2.605276810101002892e-04
-1.236755866769340302e-02,4.904607287965881968e-01,-5.021566713499759915e-01,7.871370381934361671e-03,-1.236753920269455936e-02,3.824291882397698808e-03
-6.056796796935490224e-02,9.893829500072741645e-01,-7.618779223514707821e-01,-2.429173251641418563e-01,-6.056623071694586941e-02,1.538480494454716983e-02
-2.080702573206276440e-01,1.435014764148224264e+00,-4.916418495834768976e-01,-9.836676894075160327e-01,-2.080240322861971747e-01,3.944543091872995677e-02
-5.819864726373047414e-01,1.709835372563709877e+00,3.286019855168740844e-01,-2.116554342123841082e+00,-5.814360709234885904e-01,6.550345924045411494e-02
-7.368461244823573120e-01,2.081321023982827256e+00,8.177556825510192695e-01,-3.001080937599054810e+00,-7.358792249687829967e-01,7.597780703026701943e-02
-7.905396206132762060e-01,2.559735236655489743e+00,7.031823471326614783e-01,-3.373897902938024718e+00,-7.894141511443418802e-01,7.864329573560087383e-02
-8.054497405370525387e-01,2.937554878320562946e+00,3.755230490661534137e-01,-3.426074811303294609e+00,-8.043376980489663763e-01,7.897520642009478453e-02
-8.064762101927762661e-01,3.102906237991959415e+00,1.825420973618985254e-01,-3.397033145827993206e+00,-8.054463814704779789e-01,7.802692749231011915e-02
-8.047075897833922964e-01,3.016827877082526310e+00,2.576635485284639038e-01,-3.383750280893397910e+00,-8.037730199212826943e-01,7.666836724193161479e-02
-7.942248254058672519e-01,2.696181612061479438e+00,5.442723671891163129e-01,-3.344960924997734342e+00,-7.934231805012784688e-01,7.426954160085862122e-02
-7.535542576460813047e-01,2.229121804597689938e+00,7.594754921790116686e-01,-3.081984740584124527e+00,-7.529966742338685126e-01,6.924612858336649801e-02
-6.344880896517968161e-01,1.793369767412877458e+00,4.954937203535446089e-01,-2.358603127005366229e+00,-6.343361538789524801e-01,5.747881334737183628e-02
-2.545710470600970332e-01,1.494264913109896176e+00,-2.698119347989446637e-01,-1.253283824609458197e+00,-2.549220903882351008e-01,2.959737948406984329e-02
-4.741297902857099372e-02,1.099317570177271053e+00,-7.310553100849966901e-01,-3.634325886872290523e-01,-4.798211989347083567e-02,-2.879673798105916553e-03
1.614540455013335069e-02,5.962919102205002098e-01,-5.942703806359315166e-01,2.062715702398873474e-02,1.536962704684512009e-02,-2.048746151990677583e-02
3.351004734782200151e-02,1.867814526036648271e-01,-2.393372169311483999e-01,8.380323177469556351e-02,3.252880516719329484e-02,-2.885841408991649329e-02
3.519575409496789736e-02,-4.421215304658916191e-03,-4.324037319762991105e-02,8.301052564633459863e-02,3.401370282683448265e-02,-3.274183943743058656e-02
3.490525551287610578e-02,5.958948595456715208e-02,-1.277235106366876871e-01,1.069005760889501777e-01,3.352335800678154371e-02,-3.594398341689375442e-02
2.809818602722971570e-02,3.687838156311624149e-01,-4.590584238809117812e-01,1.303861243811856307e-01,2.652089795271603614e-02,-3.708251753282386376e-02
-6.109714915245208211e-03,8.452541140686498089e-01,-7.778657813474884053e-01,-3.240798491255456049e-02,-7.865762083119981485e-03,-3.175079034861630345e-02
-1.101703034095374983e-01,1.323438165078874684e+00,-6.548622628990486971e-01,-6.500239013620843220e-01,-1.120897001680948163e-01,-1.499358341615843887e-02
-4.362973947345481496e-01,1.616007134772422749e+00,1.257246002568102872e-01,-1.757404961903654250e+00,-4.384095357888622146e-01,1.791385111734804941e-02
-6.694566506506134385e-01,1.948655302643143461e+00,7.770495214738692979e-01,-2.770237495463065525e+00,-6.717428901170048317e-01,3.888904632516582138e-02
-7.441051796371838112e-01,2.444848074089907008e+00,7.489590785421986752e-01,-3.249906240805247482e+00,-7.465770096130572853e-01,4.545271821557214653e-02
-7.665639141575949500e-01,2.885199670431709773e+00,3.886073123388433248e-01,-3.332662575360503698e+00,-7.692602231235715626e-01,4.679110721017010199e-02
-7.690050867719340211e-01,3.131178783751398687e+00,1.009210048911456936e-01,-3.288831390260088305e+00,-7.719463680290817864e-01,4.539089912244424069e-02
-7.680268640579015482e-01,3.125922829938729386e+00,8.022672823906749906e-02,-3.259638667519639377e+00,-7.712165342445340688e-01,4.332687533132074942e-02
-7.633396021394152076e-01,2.868588082906987857e+00,3.295646157680749977e-01,-3.247216767694157902e+00,-7.667803763939204931e-01,4.053796994947440890e-02
